rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,year
2,2,1,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,109123472,12.7,1180270,1.1,1418899086,11397,261,2.3,143030,793,1835,20231121,2023
3,3,1,OLD,20235034,더 마블스,2023-11-08,113045666,13.2,20376557,22.0,6490809881,11310,1748,18.3,651703,788,1889,20231121,2023
4,4,-2,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,101125780,11.8,-6257227,-5.8,18583306124,10856,-866,-7.4,1903074,647,1706,20231121,2023
5,5,1,OLD,20200622,소년들,2023-11-01,41485159,4.8,577850,1.4,4386148187,4951,118,2.4,462096,492,769,20231121,2023
6,6,-1,OLD,20228819,30일,2023-10-03,43281408,5.1,-2039701,-4.5,21125538569,4860,-120,-2.4,2151076,428,696,20231121,2023
7,7,0,NEW,20202247,싱글 인 서울,2023-11-29,35343000,4.1,35343000,100.0,81864000,3728,3728,100.0,8897,15,15,20231121,2023
8,8,-1,OLD,20081056,다크 나이트,2008-08-06,24090773,2.8,344881,1.5,28621597864,2509,-18,-0.7,4271842,209,297,20231121,2023
9,9,-1,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,18442110,2.2,-37020,-0.2,11681036586,2382,-22,-0.9,1142160,120,218,20231121,2023
10,10,4,OLD,20234293,이빨요정 비올레타: 요정나라로 돌아갈래!,2023-11-18,14601900,1.7,6552000,81.4,195894400,2318,1298,127.3,24066,151,181,20231121,2023
1,1,0,OLD,20235030,프레디의 피자가게,2023-11-15,172684502,21.7,-736406508,-81.0,3488189960,18286,-73849,-80.2,358910,798,2298,20231120,2023
2,2,0,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,107383007,13.5,-175087033,-62.0,18482180344,11722,-17393,-59.7,1892218,622,1719,20231120,2023
3,3,1,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,107943202,13.6,-159596695,-59.7,1309775614,11136,-15306,-57.9,131633,792,1916,20231120,2023
4,4,-1,OLD,20235034,더 마블스,2023-11-08,92669109,11.7,-192069897,-67.5,6377764215,9562,-19218,-66.8,640393,789,1998,20231120,2023
5,5,0,OLD,20228819,30일,2023-10-03,45321109,5.7,-68268930,-60.1,21082257161,4980,-6629,-57.1,2146216,429,684,20231120,2023
6,6,1,OLD,20200622,소년들,2023-11-01,40907309,5.1,-51828006,-55.9,4344663028,4833,-5932,-55.1,457145,520,809,20231120,2023
7,7,2,OLD,20081056,다크 나이트,2008-08-06,23745892,3.0,-31178204,-56.8,28597507091,2527,-2830,-52.8,4269333,211,293,20231120,2023
8,8,-2,OLD,20228313,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2022-11-30,18479130,2.3,-65293940,-77.9,11662594476,2404,-8955,-78.8,1139778,109,209,20231120,2023
9,9,1,OLD,20234666,톡 투 미,2023-11-01,15232072,1.9,-24797968,-61.9,1676339334,1999,-2990,-59.9,175373,222,309,20231120,2023
10,10,3,OLD,20194376,탑건: 매버릭,2022-06-22,14770000,1.9,-13905000,-48.5,88262601794,1997,-1952,-49.4,8220190,75,232,20231120,2023
1,1,0,OLD,20235030,프레디의 피자가게,2023-11-15,909091010,33.2,-111024699,-10.9,3315505458,92135,-10478,-10.2,340624,1041,3049,20231119,2023
2,2,1,OLD,20234664,그대들은 어떻게 살 것인가,2023-10-25,282470040,10.3,-71705971,-20.2,18374797337,29115,-6919,-19.2,1880496,728,2038,20231119,2023
3,3,-1,OLD,20235034,더 마블스,2023-11-08,284739006,10.4,-96652294,-25.3,6285095106,28780,-9699,-25.2,630831,919,2592,20231119,2023
4,4,0,OLD,20234797,헝거게임: 노래하는 새와 뱀의 발라드,2023-11-15,267539897,9.8,-78964791,-22.8,1201832412,26442,-7601,-22.3,120497,889,2293,20231119,2023
5,5,0,OLD,20228819,30일,2023-10-03,113590039,4.1,-21061822,-15.6,21036936052,11609,-2245,-16.2,2141236,453,744,20231119,2023
