holdback,theater_revenue,digital_fee,total_profit,theater_revenue_억,digital_fee_억,total_profit_억
98,1282578966.8567164,4598509.703734477,1287177476.5604508,12.825789668567165,0.04598509703734477,12.871774765604508
99,1282754149.3025525,4530046.813529376,1287284196.116082,12.827541493025524,0.04530046813529376,12.87284196116082
100,1282924154.32467,4462603.2029685965,1287386757.5276387,12.8292415432467,0.044626032029685965,12.873867575276387
101,1283089134.939065,4396163.696955235,1287485298.6360202,12.83089134939065,0.043961636969552347,12.874852986360201
102,1283249239.6394265,4330713.346320141,1287579952.9857466,12.832492396394265,0.04330713346320141,12.875799529857467
103,1283404612.5307925,4266237.424458304,1287670849.9552507,12.834046125307925,0.042662374244583044,12.876708499552507
104,1283555393.4592528,4202721.424015295,1287758114.883268,12.835553934592529,0.042027214240152946,12.87758114883268
105,1283701718.137822,4140151.053623053,1287841869.1914449,12.837017181378219,0.04140151053623053,12.87841869191445
106,1283843718.268587,4078512.2346842694,1287922230.5032713,12.83843718268587,0.040785122346842693,12.879222305032714
107,1283981521.6612513,4017791.0982046416,1287999312.759456,12.839815216612513,0.040177910982046414,12.87999312759456
108,1284115252.3481703,3957973.981672294,1288073226.3298426,12.841152523481703,0.03957973981672294,12.880732263298425
109,1284245030.6959891,3899047.42598365,1288144078.1219728,12.842450306959892,0.038990474259836504,12.881440781219728
110,1284370973.5139813,3840998.172415083,1288211971.6863964,12.843709735139813,0.038409981724150825,12.882119716863963
111,1284493194.1591842,3783813.1596396407,1288277007.3188238,12.844931941591842,0.03783813159639641,12.882770073188238
112,1284611802.6384287,3727479.5207881993,1288339282.159217,12.846118026384287,0.037274795207881996,12.88339282159217
113,1284726905.7073529,3671984.580554358,1288398890.2879071,12.847269057073529,0.036719845805543584,12.883988902879072
114,1284838606.9664876,3617315.852342442,1288455922.81883,12.848386069664876,0.03617315852342442,12.8845592281883
115,1284947006.9545069,3563461.0354579687,1288510467.989965,12.849470069545069,0.03563461035457969,12.88510467989965
116,1285052203.2387168,3510408.012339937,1288562611.2510567,12.850522032387168,0.03510408012339937,12.885626112510566
117,1285154290.5028741,3458144.845834328,1288612435.3487084,12.851542905028742,0.03458144845834328,12.886124353487084
118,1285253360.632408,3406659.7765081883,1288660020.408916,12.852533606324078,0.034066597765081884,12.88660020408916
119,1285349502.7971222,3355941.220003718,1288705444.0171258,12.853495027971222,0.03355941220003718,12.887054440171259
120,1285442803.5314548,3305977.7644317313,1288748781.2958865,12.854428035314548,0.03305977764431731,12.887487812958865
